alr0221	1.39	1.85	1.19
alr0222	1.64	1.00	1.68
alr0223	0.76	0.67	0.86
alr0224	1.03	1.08	1.25
alr0225	1.03	0.87	1.05
alr0226	1.48	1.76	1.44
alr0227	4.17	2.58	1.08
alr0228	2.42	2.62	1.00
asr0229	0.00	0.00	0.00
alr0230	1.72	2.75	0.89
all0231	0.00	1.99	0.00
all0232	1.62	1.76	0.90
all0233	1.57	1.64	0.00
alr0234	4.40	3.88	0.00
alr0235	1.70	1.80	1.08
alr0236	1.87	1.67	1.43
alr0237	1.13	1.04	0.60
alr0238	0.75	0.76	1.18
alr0239	0.91	0.85	1.25
alr0240	1.18	1.06	1.52
alr0241	0.49	0.70	0.37
alr0242	1.61	1.17	0.00
asr0243	1.37	1.26	1.55
all0244	1.30	2.37	0.00
all0245	0.00	0.00	0.00
alr0246	0.00	1.99	1.74
alr0247	0.00	0.00	0.00
alr0248	0.25	1.36	0.85
alr0249	1.22	1.13	2.48
all0250	0.00	3.61	0.00
all0251	0.00	0.00	0.00
alr0252	2.16	2.17	1.68
all0253	4.52	2.11	0.79
all0254	0.00	3.10	0.00
alr0255	2.01	3.03	1.06
asl0256	0.00	0.00	0.00
asr0257	0.79	0.58	0.73
all0258	1.38	1.52	2.74
all0259	0.70	0.66	1.29
asl0260	0.00	0.00	1.88
all0261	0.00	0.00	0.00
all0262	0.00	0.00	0.00
all0263	0.00	3.49	0.00
alr0264	2.05	2.28	0.79
all0265	1.49	2.42	2.05
all0266	0.00	3.97	1.34
alr0267	0.00	5.06	16.86
all0268	1.04	0.97	1.72
all0269	1.33	1.21	1.57
all0270	1.51	1.94	0.78
all0271	1.71	1.95	1.39
asl0272	1.59	1.82	1.60
all0273	1.33	1.54	1.18
all0274	0.00	0.00	0.00
all0275	0.00	0.00	0.00
alr0276	0.00	0.00	0.00
alr0277	0.00	0.33	0.00
all0278	0.76	0.76	1.51
alr0279	2.71	1.94	0.00
alr0280	0.00	2.28	0.00
asl0281	1.67	1.35	1.46
all0282	1.26	1.41	1.14
all0283	0.00	0.00	0.00
all0284	2.31	1.29	0.00
all0285	2.38	1.90	0.00
alr0286	1.85	1.76	0.00
all0287	0.00	0.00	0.00
alr0288	1.93	2.13	1.62
alr0289	2.97	2.56	0.89
